,Date,XIC,XFN
251,2002-04-02,-0.006997026,-0.000681579
252,2002-04-03,-0.009067889,0.001364425
253,2002-04-04,-0.011196004,-0.003072345
254,2002-04-05,-0.001023998,0.008510313
255,2002-04-08,-0.003078863,0.001693459
256,2002-04-09,-0.005151514,-0.00508927
257,2002-04-10,0.008230377,0.020202846
258,2002-04-11,-0.009264184,-0.003338467
259,2002-04-12,0.002066263,0.001670822
260,2002-04-15,0.007197921,0
261,2002-04-16,0.008163191,0.003332382
262,2002-04-17,0.004056811,-0.003332382
263,2002-04-18,-0.007110465,-0.007036107
264,2002-04-19,0.011151437,0.023592431
265,2002-04-22,-0.010132515,-0.004937831
266,2002-04-23,-0.012294846,-0.020000398
267,2002-04-24,-0.003097795,-0.006757485
268,2002-04-25,-0.001034593,-0.008510313
269,2002-04-26,-0.009360537,-0.013769668
270,2002-04-29,-0.006289201,0.006219408
271,2002-04-30,0.008376889,0.013005315
272,2002-05-01,0.003123028,0.003055259
273,2002-05-02,0.003114581,0
274,2002-05-03,0,0
275,2002-05-06,-0.010417068,-0.017094212
276,2002-05-07,-0.010526726,-0.005185769
277,2002-05-08,0.019906346,0.015477588
278,2002-05-09,-0.002077134,-0.00170792
279,2002-05-10,-0.009399502,0.00170792
280,2002-05-13,0.003352231,-0.00170792
281,2002-05-14,0.010197092,0.005114502
282,2002-05-15,0,0
283,2002-05-16,0.004132388,0
284,2002-05-17,-0.003097795,-0.013698401
285,2002-05-21,-0.007264873,-0.00345473
286,2002-05-22,-0.0062702,-0.008687633
287,2002-05-23,0.011465241,0.017301513
288,2002-05-24,-0.00728098,0
289,2002-05-27,-0.001044318,-0.00171685
290,2002-05-28,-0.005238442,0.003430892
291,2002-05-29,-0.005265449,0
292,2002-05-30,0.001054617,0.011914479
293,2002-05-31,0.006309331,0.005064026
294,2002-06-03,-0.009478553,-0.005064026
295,2002-06-04,-0.005304993,-0.003389392
296,2002-06-05,-0.002130369,-0.00510646
297,2002-06-06,-0.007490326,-0.003418628
298,2002-06-07,0,-0.001714042
299,2002-06-10,0,0.001714042
300,2002-06-11,-0.012972891,-0.01553182
301,2002-06-12,-0.007646825,-0.005230301
302,2002-06-13,-0.004394871,-0.010544359
303,2002-06-14,-0.003309518,-0.008874025
304,2002-06-17,0.014262555,0.010637985
305,2002-06-18,0.00108866,-0.001763961
306,2002-06-19,-0.010941204,-0.005316181
307,2002-06-20,-0.005515672,-0.008920137
308,2002-06-21,-0.016732397,-0.016259176
309,2002-06-24,-0.001198169,-0.007267237
310,2002-06-25,-0.003400052,0.001839942
311,2002-06-26,-0.007976311,-0.007380167
312,2002-06-27,0.005704204,0.014706123
313,2002-06-28,0.014681677,0.009082929
314,2002-07-02,-0.029582122,-0.029360287
315,2002-07-03,0.006904824,0
316,2002-07-04,0.005717408,0.005571235
317,2002-07-05,0.013590233,0.014706123
318,2002-07-08,-0.00563986,-0.001826926
319,2002-07-09,-0.009091117,-0.007338972
320,2002-07-10,-0.018433209,-0.022347187
321,2002-07-11,-0.012873505,-0.001884736
322,2002-07-12,-0.003539984,-0.013295645
323,2002-07-15,-0.01428578,-0.005753595
324,2002-07-16,-0.002400959,-0.005784783
325,2002-07-17,-0.002406573,0.003860138
326,2002-07-18,0.010785154,0.005764051
327,2002-07-19,-0.035176911,-0.035091299
328,2002-07-22,-0.027535957,-0.016000942
329,2002-07-23,-0.030930619,-0.02242659
330,2002-07-24,0.033465472,0.026451556
331,2002-07-25,-0.016592049,0
332,2002-07-26,0.012787183,0.00799933
333,2002-07-29,0.02880597,0.031375687
334,2002-07-30,0.003697193,-0.003868508
335,2002-07-31,0.013439072,0.015385041
336,2002-08-01,-0.007307686,0
337,2002-08-02,-0.009828579,-0.003824276
338,2002-08-06,0.003697193,0.005730572
339,2002-08-07,-0.009889327,-0.001906297
340,2002-08-08,0.02211407,0.015151045
341,2002-08-09,0.010876393,0.01121618
342,2002-08-12,-0.007237989,-0.016870698
343,2002-08-13,-0.013406482,-0.007590231
344,2002-08-14,-0.002456666,-0.005730572
345,2002-08-15,0.007352964,0.003824276
346,2002-08-16,0.003656472,0.001906297
347,2002-08-19,0.008479254,0.003802612
348,2002-08-20,0.008408776,0.005676649
349,2002-08-21,-0.001196723,0.001884736
350,2002-08-22,0.013087132,-0.007561385
351,2002-08-23,-0.02150602,-0.007618996
352,2002-08-26,0.009615611,0.009514303
353,2002-08-27,-0.001196723,-0.009132262
354,2002-08-28,-0.014962044,-0.002296231
355,2002-08-29,-0.00194721,-0.001917562
356,2002-08-30,0.009697202,0.005741837
357,2002-09-03,-0.025658408,-0.023166484
358,2002-09-04,0.002472524,0.003898517
359,2002-09-05,0,-0.003898517
360,2002-09-06,0,-0.001956116
361,2002-09-09,0.003697193,0.007797829
362,2002-09-10,0.006131385,-0.003891997
363,2002-09-11,0.013357306,0.015474929
364,2002-09-12,-0.013357306,-0.015474929
365,2002-09-13,-0.006131385,-0.001949717
366,2002-09-16,-0.006169717,0
367,2002-09-17,-0.009949813,-0.013766759
368,2002-09-18,-0.012578767,-0.01596853
369,2002-09-19,-0.019170244,-0.024441333
370,2002-09-20,-0.007771876,-0.004131949
371,2002-09-23,-0.01061679,-0.017510822
372,2002-09-24,-0.001322485,-0.004254993
373,2002-09-25,0.011834728,0.016912895
